,location,total_sqft,bath,price,bhk,encoded_loc
1292,others,1616.0,3,75.0,3,230
1293,Whitefield,1306.0,3,54.65,3,224
1294,Whitefield,1626.0,3,89.0,3,224
1295,others,2700.0,4,214.0,6,230
1296,Whitefield,1585.0,3,88.0,3,224
1297,7th Phase JP Nagar,1370.0,2,56.17,2,6
1298,Kanakpura Road,1495.0,2,90.0,2,127
1299,Bannerghatta,1375.0,3,57.0,3,33
1300,Kereguddadahalli,1400.0,2,48.0,3,137
1301,Whitefield,995.0,2,28.585,1,224
1302,Yelahanka,1150.0,2,46.0,2,226
1303,Hebbal,1080.0,2,54.0,2,92
1304,Kaikondrahalli,1645.0,3,100.0,3,120
1305,others,595.0,1,42.0,1,230
1306,JP Nagar,6624.5,4,314.5,4,109
1307,others,1410.0,2,67.0,2,230
1308,others,1090.0,2,31.48,2,230
1309,Ramagondanahalli,540.0,1,30.0,1,187
1310,Sarjapur  Road,1300.0,2,60.0,2,194
1311,9th Phase JP Nagar,1890.0,2,85.0,3,8
1312,others,1254.0,2,53.0,2,230
1313,Kathriguppe,1245.0,2,68.48,3,132
1314,others,1170.0,2,86.0,2,230
1315,Panathur,1193.0,2,86.0,2,180
1316,Chandapura,850.0,2,25.4,2,55
1317,Marathahalli,1678.0,3,70.0,3,161
1318,Gunjur,1600.0,3,75.0,3,85
1319,Electronics City Phase 1,1750.0,3,84.0,3,76
1320,Whitefield,1125.0,2,62.0,2,224
1321,others,1590.0,3,95.0,3,230
1322,HBR Layout,2800.0,2,200.0,3,87
1323,others,1000.0,2,50.0,2,230
1324,Electronic City Phase II,1320.0,2,38.13,3,75
1325,Ardendale,2422.0,4,160.0,4,19
1326,Kasavanhalli,1100.0,2,50.0,2,130
1327,Uttarahalli,882.0,2,30.0,2,216
1328,Bisuvanahalli,845.0,2,37.0,2,46
1329,Kambipura,883.0,2,39.0,2,123
1330,Thanisandra,1086.5,2,48.145,1,209
1331,Brookefield,1595.0,3,88.0,3,51
1332,Whitefield,1280.0,2,85.0,2,224
1333,others,920.0,2,35.0,2,230
1334,Choodasandra,1300.0,2,57.0,2,60
1335,Harlur,1757.0,3,132.0,3,91
1336,others,2400.0,3,142.0,4,230
1337,Sarjapur,1240.0,2,44.0,2,193
1338,EPIP Zone,1330.0,2,93.36,2,73
1339,8th Phase JP Nagar,1062.0,2,42.47,2,7
1340,JP Nagar,1078.0,2,45.0,2,109
1341,Bannerghatta Road,1460.0,2,72.0,3,34
1342,Whitefield,1200.0,3,68.5,3,224
1343,Laggere,1200.0,1,48.0,1,152
1344,Kammasandra,912.0,2,39.0,3,125
1345,Hosa Road,1590.0,3,115.0,3,101
1346,Prithvi Layout,2028.0,4,162.0,4,181
1347,Mysore Road,980.0,2,45.47,2,166
1348,Sarjapur  Road,1000.0,2,40.0,2,194
1349,Sarjapur  Road,1050.0,2,62.0,2,194
1350,Domlur,1875.0,2,150.0,3,71
1351,Hennur Road,1065.0,2,42.6,2,96
1352,Tumkur Road,1098.0,2,72.0,2,214
1353,5th Phase JP Nagar,1725.0,2,100.0,3,4
1354,Whitefield,4000.0,4,330.0,4,224
1355,Thubarahalli,1128.0,2,75.0,2,211
1356,Yelahanka,1705.0,3,74.16,3,226
1357,Thigalarapalya,1418.0,2,95.0,2,210
1358,Hebbal,1100.0,2,50.0,2,92
1359,Hebbal,812.0,2,55.0,2,92
1360,Binny Pete,4165.0,2,204.0,4,45
1361,others,1280.0,2,40.0,2,230
1362,Old Airport Road,2774.0,4,207.0,4,176
1363,others,2000.0,3,85.0,3,230
1364,HBR Layout,1722.0,3,95.0,3,87
1365,others,840.0,2,27.0,2,230
1366,Jigani,914.0,2,47.0,2,113
1367,Hennur Road,1482.0,2,83.73,3,96
1368,Kundalahalli,1724.0,3,127.0,3,150
1369,others,1670.0,3,91.86,3,230
1370,Banaswadi,1184.0,2,53.0,2,31
1371,Kodigehaali,1200.0,2,55.0,2,139
1372,TC Palaya,1200.0,2,65.0,2,207
1373,Jigani,927.0,2,55.0,2,113
1374,others,1242.0,2,39.7,2,230
1375,Electronic City Phase II,1220.0,3,35.23,3,75
1376,Electronic City,1360.0,2,75.0,3,74
1377,7th Phase JP Nagar,1180.0,2,72.0,2,6
1378,Whitefield,1697.0,3,108.0,3,224
1379,Hennur,1225.0,2,57.0,2,95
1380,others,1690.0,2,55.0,3,230
1381,others,1488.0,3,57.0,3,230
1382,others,1250.0,2,80.0,3,230
1383,JP Nagar,1050.0,1,44.0,1,109
1384,HSR Layout,1027.0,2,44.0,2,89
1385,Kanakpura Road,1699.0,3,81.94,3,127
1386,Whitefield,1205.0,2,58.0,2,224
1387,Horamavu Agara,950.0,2,39.0,2,98
1388,TC Palaya,1200.0,2,70.0,2,207
1389,Akshaya Nagar,1476.0,3,120.0,3,11
1390,CV Raman Nagar,1070.0,2,55.0,2,53
1391,EPIP Zone,2160.0,4,172.0,3,73
1392,Sector 2 HSR Layout,1296.0,2,75.0,2,196
1393,Chikkalasandra,1800.0,1,128.0,2,59
1394,Kanakpura Road,1570.0,3,64.5,3,127
1395,Sarjapur,1550.0,2,65.0,4,193
1396,Electronic City,770.0,1,40.0,2,74
1397,Jalahalli,1870.0,3,110.0,3,111
1398,Domlur,1429.0,3,86.0,3,71
1399,Babusapalaya,1167.0,2,39.98,3,24
1400,Bommasandra,1035.0,2,41.73,2,48
1401,Kengeri,1188.0,2,38.0,3,135
1402,Sarjapur,1590.0,3,76.0,3,193
1403,Nagarbhavi,884.0,2,36.0,1,169
1404,Hoodi,1026.0,2,60.87,2,97
1405,Kaikondrahalli,1115.0,2,50.0,2,120
1406,Old Airport Road,2690.0,4,191.0,4,176
1407,Subramanyapura,975.0,2,58.0,2,205
1408,OMBR Layout,1101.0,2,65.5,2,175
1409,Sarjapur  Road,1700.0,3,135.0,3,194
1410,Kanakpura Road,1560.0,3,92.0,3,127
1411,Hebbal,2790.0,4,198.0,4,92
1412,others,1494.0,2,94.55,3,230
1413,Hennur Road,1482.0,2,87.0,3,96
1414,others,800.0,2,50.0,2,230
1415,Raja Rajeshwari Nagar,1185.0,2,47.39,2,184
1416,Hulimavu,1100.0,2,71.5,2,105
1417,Hulimavu,1758.0,3,65.0,3,105
1418,Banaswadi,1145.0,2,55.0,2,31
1419,Hormavu,1180.0,2,50.0,2,100
1420,others,1260.0,2,58.0,2,230
1421,Yelahanka,5186.0,2,173.0,4,226
1422,Arekere,1190.0,2,55.0,2,20
1423,Sarjapur  Road,1691.0,3,119.0,3,194
1424,Frazer Town,1305.0,3,95.45,3,77
1425,Kogilu,1140.0,2,50.66,2,142
1426,others,1250.0,2,65.0,2,230
1427,others,1225.0,2,48.0,2,230
1428,Kereguddadahalli,800.0,2,28.0,2,137
1429,Jalahalli East,1020.0,2,58.0,2,112
1430,others,1350.0,2,80.0,2,230
1431,Anekal,925.0,2,40.0,2,17
1432,others,2000.0,3,100.0,3,230
1433,Frazer Town,1510.0,2,75.0,3,77
1434,others,1614.0,3,110.0,3,230
1435,Gottigere,1200.0,2,95.0,2,82
1436,TC Palaya,900.0,2,55.0,2,207
1437,OMBR Layout,1041.0,2,65.5,2,175
1438,Marathahalli,1530.0,3,74.5,3,161
1439,Bannerghatta Road,1200.0,2,75.0,2,34
1440,Hosur Road,1508.0,2,110.0,3,104
1441,others,1188.0,2,73.0,2,230
1442,Old Airport Road,2690.0,4,199.0,4,176
1443,Harlur,1174.0,2,76.0,2,91
1444,Old Madras Road,1350.0,3,58.99,3,177
1445,Kengeri,726.0,2,31.0,2,135
1446,Hosur Road,1345.0,2,106.0,2,104
1447,Begur Road,1200.0,2,45.0,2,39
1448,Nagavarapalya,980.0,2,37.0,2,172
1449,Hormavu,1050.0,2,77.0,2,100
1450,Uttarahalli,993.0,2,39.71,2,216
1451,7th Phase JP Nagar,1300.0,2,52.0,3,6
1452,Vittasandra,1743.0,3,85.0,3,223
1453,Hormavu,1200.0,2,67.0,2,100
1454,Sarjapur,950.0,2,32.5,2,193
1455,Electronic City Phase II,972.0,2,44.0,2,75
1456,Marathahalli,1840.0,3,98.0,3,161
1457,Electronic City,1128.0,2,64.0,2,74
1458,others,680.0,2,42.0,2,230
1459,others,2400.0,2,95.0,2,230
1460,others,1045.0,2,42.0,2,230
1461,others,955.0,2,53.55,2,230
1462,Doddakallasandra,1360.0,2,54.39,3,69
1463,BTM Layout,1150.0,2,63.0,2,23
1464,others,1115.0,2,56.87,2,230
1465,Jigani,920.0,2,46.0,2,113
1466,Bommasandra Industrial Area,1030.0,2,41.0,2,49
1467,Thanisandra,1564.0,3,101.0,3,209
1468,Uttarahalli,1045.0,2,45.0,2,216
1469,Hegde Nagar,1200.0,4,83.0,4,94
1470,Subramanyapura,1277.0,2,55.0,2,205
1471,Sarjapur  Road,1846.0,3,140.0,3,194
1472,others,1690.0,3,75.0,3,230
1473,Hormavu,1200.0,3,70.0,2,100
1474,Yelahanka,3042.0,4,131.0,4,226
1475,others,1068.0,2,40.05,2,230
1476,Kanakpura Road,1135.0,2,58.0,2,127
1477,others,1925.0,3,120.0,3,230
1478,Begur Road,1615.0,3,60.0,3,39
1479,others,650.0,1,26.0,1,230
1480,Kaggadasapura,1150.0,2,42.0,2,118
1481,others,1410.0,2,45.12,3,230
1482,Tumkur Road,1354.0,3,90.0,3,214
1483,Arekere,600.0,1,28.0,1,20
1484,Koramangala,1600.0,3,88.0,3,144
1485,GM Palaya,1000.0,2,36.0,2,78
1486,others,1130.0,3,38.0,3,230
1487,Vittasandra,1238.0,2,67.0,2,223
1488,Kudlu Gate,1364.0,2,46.38,3,148
1489,others,900.0,2,45.0,2,230
1490,Gubbalala,1745.0,3,104.0,3,84
1491,Kogilu,1200.0,2,53.33,2,142
1492,Kanakapura,1020.0,2,42.83,2,126
1493,Banashankari Stage III,1650.0,3,118.0,3,28
1494,others,1550.0,2,70.0,3,230
1495,5th Phase JP Nagar,1440.0,2,60.0,2,4
1496,Sarjapura - Attibele Road,1329.0,2,45.95,3,195
1497,others,916.0,2,42.0,2,230
1498,Hulimavu,688.0,1,50.0,1,105
1499,others,1358.0,3,50.0,3,230
1500,Kanakpura Road,1331.0,2,107.0,2,127
1501,Hoodi,1050.0,2,50.0,2,97
1502,Talaghattapura,2106.0,3,126.0,3,208
1503,Bhoganhalli,1718.0,3,90.2,3,43
1504,Raja Rajeshwari Nagar,1530.0,3,57.0,3,184
1505,5th Block Hbr Layout,1206.0,2,56.0,2,3
1506,Hebbal,1075.0,2,52.0,2,92
1507,Sarjapur  Road,1200.0,3,95.0,3,194
1508,Nagavara,2172.65,3,120.0,4,171
1509,Sahakara Nagar,1100.0,2,75.0,3,190
1510,others,1685.0,2,110.0,3,230
1511,CV Raman Nagar,740.0,2,37.0,2,53
1512,Magadi Road,1500.0,2,93.0,4,155
1513,Banashankari,1800.0,3,115.0,3,26
1514,Yelachenahalli,1700.0,3,130.0,3,225
1515,Uttarahalli,850.0,2,37.93,2,216
1516,Hennur Road,1891.0,3,139.0,3,96
1517,Jalahalli,1400.0,1,80.0,2,111
1518,Lakshminarayana Pura,1172.0,2,82.0,2,153
1519,Sonnenahalli,896.0,2,43.75,2,204
1520,Vijayanagar,1180.0,2,65.0,2,220
1521,others,850.0,2,33.0,2,230
1522,Anekal,530.0,1,18.0,1,17
1523,others,1550.0,3,110.0,3,230
1524,Kanakapura,1699.0,3,97.0,3,126
1525,Bellandur,2025.0,4,109.0,4,40
1526,others,500.0,1,20.0,1,230
1527,others,1146.0,2,38.5,2,230
1528,Seegehalli,800.0,1,50.0,2,198
1529,Abbigere,765.0,2,30.0,1,10
1530,Lingadheeranahalli,1521.0,3,94.99,3,154
1531,Gottigere,1600.0,2,55.0,3,82
1532,Hebbal Kempapura,2900.0,4,240.0,3,93
1533,others,1765.0,3,105.0,3,230
1534,Kasavanhalli,1980.0,3,88.0,3,130
1535,Amruthahalli,1900.0,3,135.0,3,14
1536,others,1265.0,2,70.0,2,230
1537,Bommasandra,1034.0,2,40.0,2,48
1538,others,1012.0,2,59.0,2,230
1539,Electronic City,1070.0,2,54.0,2,74
1540,Mahadevpura,3555.0,4,230.0,4,156
1541,5th Block Hbr Layout,1270.0,2,70.0,3,3
1542,others,2045.0,4,154.0,3,230
1543,Bellandur,1490.0,2,98.0,3,40
1544,Mysore Road,883.0,2,40.0,2,166
1545,Yeshwanthpur,671.0,1,36.85,1,229
1546,Haralur Road,2017.0,3,125.0,3,90
1547,Ramagondanahalli,1635.0,3,62.0,3,187
1548,Kanakpura Road,1296.0,2,89.0,2,127
1549,Budigere,1139.0,2,62.0,2,52
1550,CV Raman Nagar,1230.0,3,47.0,2,53
1551,others,581.91,2,25.0,1,230
1552,Binny Pete,1245.0,2,86.28,2,45
1553,others,1158.0,2,85.0,3,230
1554,Marathahalli,3951.0,4,220.0,4,161
1555,Ramamurthy Nagar,360.0,1,26.0,1,188
1556,Electronics City Phase 1,1350.0,3,55.0,3,76
1557,Green Glen Layout,1670.0,3,120.0,3,83
1558,Akshaya Nagar,1600.0,2,65.0,3,11
1559,Horamavu Banaswadi,1307.0,2,51.6,2,99
1560,7th Phase JP Nagar,1050.0,2,57.0,3,6
1561,Hennur Road,1703.0,3,101.0,3,96
1562,Kaggalipura,1210.0,2,58.0,3,119
1563,Electronic City,1025.0,2,29.6,2,74
1564,7th Phase JP Nagar,1343.0,2,56.41,3,6
1565,R.T. Nagar,1560.0,3,85.0,3,182
1566,others,925.0,2,51.0,2,230
1567,Kanakpura Road,1420.0,2,75.0,3,127
1568,others,1415.0,2,110.0,2,230
1569,others,1210.0,2,60.0,2,230
1570,Hoskote,1250.0,3,50.0,3,103
1571,9th Phase JP Nagar,1100.0,2,65.0,2,8
1572,others,1150.0,2,40.25,2,230
1573,Jakkur,1100.0,2,53.35,2,110
1574,Magadi Road,1350.0,1,100.0,2,155
1575,Panathur,1546.0,3,99.0,3,180
1576,Ambedkar Nagar,1424.0,2,90.0,2,13
1577,Bellandur,1398.0,3,68.0,3,40
1578,Brookefield,1476.0,3,105.0,3,51
1579,Magadi Road,1322.0,2,58.82,3,155
1580,others,1100.0,2,55.0,2,230
1581,Sarjapur,1285.0,2,68.0,3,193
1582,Ambalipura,1150.0,2,80.0,2,12
1583,Thanisandra,1430.0,2,56.0,3,209
1584,Marathahalli,1350.0,2,62.0,3,161
1585,Thubarahalli,1185.0,2,65.0,2,211
1586,Bannerghatta Road,1760.0,3,67.0,3,34
1587,Kanakpura Road,900.0,2,41.0,2,127
1588,Kanakpura Road,1297.0,2,105.0,2,127
1589,Ramamurthy Nagar,950.0,2,50.79,2,188
1590,BTM 2nd Stage,950.0,2,52.0,2,22
1591,Yeshwanthpur,1902.5,2,95.815,2,229
1592,Electronic City,1571.0,3,89.0,3,74
1593,Electronic City Phase II,1031.0,2,55.0,2,75
1594,Whitefield,1485.0,2,90.0,2,224
1595,Ananth Nagar,1109.0,2,60.0,2,16
1596,Koramangala,2200.0,3,180.0,3,144
1597,Whitefield,950.0,1,50.0,1,224
1598,Electronic City Phase II,1003.0,2,40.6,2,75
1599,9th Phase JP Nagar,1080.0,2,37.0,2,8
1600,Hulimavu,1255.0,2,73.0,2,105
1601,Banaswadi,1250.0,2,60.0,2,31
1602,Ramamurthy Nagar,1200.0,2,66.0,3,188
1603,others,824.0,2,60.0,2,230
1604,Bommasandra Industrial Area,1320.0,2,38.12,3,49
1605,Kothanur,9600.0,5,550.0,5,146
1606,Uttarahalli,1330.0,2,47.0,3,216
1607,Kaikondrahalli,1220.0,3,56.0,3,120
1608,Electronic City,1111.0,3,50.0,3,74
1609,Kothannur,1197.0,2,47.88,2,145
1610,Marathahalli,2519.0,5,185.0,4,161
1611,others,1340.0,2,100.0,3,230
1612,Hoodi,1837.0,3,145.0,3,97
1613,Kudlu Gate,1238.0,2,55.0,2,148
1614,7th Phase JP Nagar,1405.0,2,59.01,3,6
1615,Doddaballapur,1690.0,3,80.0,4,68
1616,others,1620.0,2,110.0,3,230
1617,Kanakpura Road,1673.0,3,115.0,3,127
1618,Margondanahalli,1090.0,2,58.0,2,162
1619,Varthur,1112.0,2,40.0,2,217
1620,Marathahalli,1385.0,2,66.65,3,161
1621,Subramanyapura,985.0,2,58.0,2,205
1622,Kanakpura Road,1160.0,1,36.29,1,127
1623,Kanakpura Road,1080.0,2,37.8,2,127
1624,Hosa Road,1430.0,2,97.52,2,101
1625,Kengeri Satellite Town,1050.0,2,43.0,2,136
1626,Kumaraswami Layout,2000.0,4,139.0,4,149
1627,Banashankari Stage VI,4800.0,4,190.0,4,30
1628,others,1533.0,3,115.0,3,230
1629,Prithvi Layout,1352.0,2,87.5,2,181
1630,Harlur,1754.0,3,125.0,3,91
1631,others,1560.0,3,85.0,3,230
1632,Whitefield,3584.0,4,199.0,4,224
1633,Channasandra,1470.0,2,90.0,3,56
1634,9th Phase JP Nagar,1035.0,2,45.0,2,8
1635,Kammanahalli,1160.0,2,52.0,2,124
1636,Jakkur,1100.0,2,52.0,2,110
1637,Horamavu Agara,1170.0,2,38.0,2,98
1638,Bannerghatta Road,595.0,1,31.83,1,34
1639,HSR Layout,1650.0,3,110.0,3,89
1640,others,1375.0,2,48.06,3,230
1641,Ramagondanahalli,1235.0,2,46.8,2,187
1642,others,750.0,1,25.0,1,230
1643,7th Phase JP Nagar,1400.0,3,115.0,3,6
1644,others,1270.0,2,50.79,3,230
1645,Bannerghatta Road,1105.0,2,51.0,2,34
1646,others,1375.0,2,85.0,3,230
1647,Attibele,2168.0,4,95.0,4,21
1648,Yelahanka,1065.0,2,40.84,2,226
1649,Whitefield,825.0,1,45.0,1,224
1650,others,1095.0,2,40.0,2,230
1651,others,1440.0,2,60.33,3,230
1652,Electronic City,870.0,2,39.5,2,74
1653,Panathur,1195.0,2,84.0,2,180
1654,others,1200.0,2,49.5,2,230
1655,Raja Rajeshwari Nagar,1530.0,3,61.2,3,184
1656,Padmanabhanagar,1708.0,2,90.5,3,178
1657,others,975.0,2,43.0,2,230
1658,KR Puram,750.0,2,25.0,2,115
1659,Iblur Village,1920.0,3,130.0,3,107
1660,Thanisandra,1183.0,2,58.56,2,209
1661,Mico Layout,1550.0,2,65.0,3,163
1662,Kaggadasapura,1110.0,2,53.0,2,118
1663,Kaggadasapura,1105.0,2,38.67,2,118
1664,Anekal,1800.0,3,68.0,3,17
1665,others,2800.0,4,200.0,5,230
1666,Bommanahalli,1000.0,2,29.9,2,47
1667,Prithvi Layout,1190.0,2,68.0,2,181
1668,Hebbal,3067.0,4,230.0,4,92
1669,Sarjapur  Road,1929.0,4,103.0,3,194
1670,Ramamurthy Nagar,1525.0,3,100.0,3,188
1671,Nehru Nagar,1775.0,3,110.0,3,174
1672,Banashankari,1125.0,2,63.0,2,26
1673,others,900.0,2,42.0,2,230
1674,Sarjapur  Road,1155.0,2,58.0,2,194
1675,Hulimavu,1200.0,4,75.0,4,105
1676,Sonnenahalli,1268.0,2,73.0,2,204
1677,others,1500.0,3,88.0,3,230
1678,Electronic City,630.0,1,47.0,1,74
1679,Seegehalli,1525.0,3,65.0,3,198
1680,Kaggadasapura,1060.0,2,48.0,2,118
1681,Lingadheeranahalli,1687.0,3,127.0,3,154
1682,Thanisandra,1847.0,3,123.0,3,209
1683,Begur Road,1410.0,2,53.0,3,39
1684,7th Phase JP Nagar,1075.0,2,42.99,2,6
1685,others,1010.0,2,46.0,2,230
1686,Kanakpura Road,983.0,2,50.6,2,127
1687,Kasturi Nagar,1101.0,2,65.0,2,131
1688,others,1140.0,2,76.0,2,230
1689,Kengeri Satellite Town,1007.0,2,42.0,2,136
1690,Bellandur,2039.0,3,168.0,3,40
1691,others,1198.0,2,84.0,2,230
1692,others,1370.0,2,75.0,2,230
1693,others,1316.0,2,55.5,2,230
1694,Kaggadasapura,1350.0,3,55.5,3,118
1695,others,1050.0,2,43.0,2,230
1696,KR Puram,1631.275,3,47.405,3,115
1697,Electronic City,921.0,2,34.0,2,74
1698,Kundalahalli,1010.0,2,49.27,2,150
1699,KR Puram,1015.0,2,43.0,2,115
1700,TC Palaya,1200.0,2,66.5,3,207
1701,Lakshminarayana Pura,1179.0,2,75.0,2,153
1702,Anjanapura,1850.0,4,86.0,4,18
1703,Bellandur,1605.0,3,85.0,3,40
1704,Banashankari Stage VI,2800.0,4,89.0,4,30
1705,others,2400.0,7,110.0,6,230
1706,others,1000.0,1,55.0,2,230
1707,Ramamurthy Nagar,1200.0,2,80.0,2,188
1708,Kammasandra,1200.0,2,66.0,2,125
1709,others,1200.0,2,50.0,2,230
1710,Hennur,1255.0,2,57.5,2,95
1711,Kanakpura Road,1592.0,3,125.0,3,127
1712,others,1313.0,2,58.27,2,230
1713,Kogilu,1934.0,3,150.0,3,142
1714,Harlur,1200.0,2,49.5,2,91
1715,Uttarahalli,3600.0,6,120.0,6,216
1716,Old Madras Road,935.0,2,45.0,2,177
1717,Bommasandra,877.0,2,30.0,2,48
1718,others,936.0,2,42.0,2,230
1719,Nagasandra,1470.0,2,110.0,3,170
1720,others,1050.0,1,70.0,1,230
1721,Hennur Road,1232.0,2,69.61,2,96
1722,Ambedkar Nagar,2225.0,4,169.0,3,13
1723,others,1200.0,2,80.0,3,230
1724,Dasarahalli,1901.0,3,119.0,3,64
1725,Sarjapur  Road,1819.0,3,100.0,3,194
1726,9th Phase JP Nagar,5000.0,4,290.0,4,8
1727,others,1256.0,2,60.0,2,230
1728,7th Phase JP Nagar,1100.0,2,44.0,2,6
1729,TC Palaya,4800.0,3,302.0,4,207
1730,Kothanur,1435.0,3,70.0,3,146
1731,6th Phase JP Nagar,3245.0,4,250.0,4,5
1732,Sarjapur  Road,1845.0,4,110.0,3,194
1733,Jigani,2400.0,4,130.0,3,113
1734,Ulsoor,1200.0,2,60.0,2,215
1735,Talaghattapura,2254.0,3,170.0,3,208
1736,others,1020.0,2,37.0,2,230
1737,Bommanahalli,515.0,1,25.0,1,47
1738,Lingadheeranahalli,1893.0,3,140.0,3,154
1739,others,830.0,2,34.0,2,230
1740,Singasandra,600.0,2,36.5,2,201
1741,Kasavanhalli,1200.0,2,78.0,2,130
1742,Sarjapur  Road,1233.0,2,77.65,2,194
1743,Bannerghatta Road,1255.0,2,65.26,2,34
1744,Begur Road,1200.0,2,37.8,2,39
1745,Varthur,2145.0,3,175.0,3,217
1746,1st Phase JP Nagar,1500.0,5,85.0,5,1
1747,Kothannur,740.0,2,34.0,2,145
1748,Kengeri,1250.0,3,48.0,3,135
1749,others,1210.0,2,40.0,2,230
1750,Sarjapur  Road,1525.0,2,60.0,3,194
1751,Kogilu,540.0,1,36.0,1,142
1752,Tumkur Road,1240.0,2,84.0,3,214
1753,Subramanyapura,1245.0,2,68.0,3,205
1754,Bisuvanahalli,1075.0,2,35.99,3,46
1755,Whitefield,1155.0,2,60.0,2,224
1756,others,1520.0,2,62.0,2,230
1757,Harlur,1290.0,2,85.0,2,91
1758,others,2300.0,3,80.0,3,230
1759,Kannamangala,3000.0,4,200.0,4,128
1760,others,400.0,1,14.0,1,230
1761,Banashankari,1340.0,2,53.6,3,26
1762,Hennur Road,987.0,2,49.0,2,96
1763,Old Madras Road,1720.0,3,100.0,3,177
1764,Hebbal,1040.0,2,50.0,2,92
1765,Anandapura,900.0,2,64.0,2,15
1766,Raja Rajeshwari Nagar,1030.0,2,50.0,2,184
1767,Neeladri Nagar,2556.0,3,133.0,3,173
1768,Balagere,1028.0,2,31.86,2,25
1769,7th Phase JP Nagar,1270.0,2,83.0,2,6
1770,Sahakara Nagar,1655.0,3,115.0,3,190
1771,Electronics City Phase 1,940.0,2,40.0,2,76
1772,Domlur,1050.0,2,85.0,2,71
1773,others,946.0,2,38.0,2,230
1774,Vittasandra,1404.0,2,75.0,2,223
1775,Sarjapur,1525.0,2,48.0,3,193
1776,Kengeri,1025.0,2,57.0,2,135
1777,others,860.0,1,43.0,2,230
1778,Talaghattapura,1223.0,2,42.81,3,208
1779,Kothannur,1197.0,2,47.8,2,145
1780,Garudachar Palya,1150.0,2,52.75,2,79
1781,R.T. Nagar,1040.0,2,46.0,2,182
1782,Banashankari,1310.0,2,80.0,2,26
1783,Uttarahalli,1788.0,3,98.34,3,216
1784,Raja Rajeshwari Nagar,1144.0,2,38.55,2,184
1785,Anjanapura,1070.0,2,39.0,2,18
1786,others,1200.0,2,70.0,2,230
1787,Ambedkar Nagar,1862.0,3,120.0,3,13
1788,Margondanahalli,1200.0,2,58.5,2,162
1789,Kasavanhalli,1646.0,3,79.5,3,130
1790,Sarjapur  Road,4395.0,4,242.0,4,194
1791,Iblur Village,1995.0,3,135.0,3,107
1792,Hosakerehalli,1085.0,2,47.74,2,102
1793,Budigere,1139.0,2,56.8,2,52
1794,Haralur Road,1092.0,2,44.0,2,90
1795,others,1767.0,3,98.0,3,230
1796,others,1700.0,3,80.0,3,230
1797,Bellandur,1692.0,3,88.0,3,40
1798,6th Phase JP Nagar,1645.0,3,100.0,3,5
1799,Uttarahalli,1345.0,2,57.0,3,216
1800,Gollarapalya Hosahalli,1408.0,3,62.0,3,81
1801,Thigalarapalya,2072.0,4,150.0,3,210
1802,Electronics City Phase 1,2040.0,3,137.0,3,76
1803,Sarjapur  Road,1220.0,3,56.0,3,194
1804,others,1300.0,2,79.0,2,230
1805,Electronics City Phase 1,1150.0,2,39.0,2,76
1806,KR Puram,1470.0,2,86.0,2,115
1807,Hosa Road,1063.0,2,31.9,2,101
1808,others,1311.0,2,48.0,2,230
1809,others,1400.0,2,55.0,3,230
1810,Vidyaranyapura,1060.0,2,55.0,2,219
1811,Sector 7 HSR Layout,1760.0,3,145.0,3,197
1812,Whitefield,2010.0,3,92.0,3,224
1813,Kanakpura Road,1480.0,2,64.23,3,127
1814,8th Phase JP Nagar,1230.0,2,43.5,3,7
1815,Gottigere,1300.0,3,65.0,3,82
1816,Singasandra,1100.0,2,52.0,2,201
1817,Harlur,1752.12,3,116.0,3,91
1818,Marathahalli,957.0,2,46.9,2,161
1819,Balagere,1113.0,1,41.9,1,25
1820,others,1942.0,3,102.0,3,230
1821,others,1000.0,2,53.0,2,230
1822,Yeshwanthpur,668.0,1,36.85,1,229
1823,Uttarahalli,1089.0,2,43.55,2,216
1824,Thanisandra,1800.0,3,90.0,3,209
1825,Yelahanka,1036.0,2,39.35,2,226
1826,Marathahalli,1583.0,3,105.0,3,161
1827,7th Phase JP Nagar,3300.0,4,150.0,4,6
1828,Padmanabhanagar,1100.0,2,65.0,2,178
1829,Vittasandra,1246.0,2,65.0,2,223
1830,Dodda Nekkundi,850.0,2,28.0,2,67
1831,Raja Rajeshwari Nagar,1196.0,2,51.51,2,184
1832,Thanisandra,1697.0,3,114.0,3,209
1833,TC Palaya,1000.0,2,64.0,2,207
1834,HRBR Layout,1567.0,3,90.0,3,88
1835,others,950.0,2,45.0,2,230
1836,others,1022.0,2,52.0,2,230
1837,Bharathi Nagar,1322.0,2,68.0,2,42
1838,others,1800.0,4,145.0,4,230
1839,Doddakallasandra,1460.0,2,58.39,3,69
1840,others,990.0,2,44.55,2,230
1841,Whitefield,1635.0,2,85.0,3,224
1842,Padmanabhanagar,3400.0,3,210.0,4,178
1843,EPIP Zone,4390.0,5,200.0,4,73
1844,others,1533.0,3,85.0,3,230
1845,Akshaya Nagar,1720.0,3,134.0,3,11
1846,Yeshwanthpur,1185.0,2,75.84,2,229
1847,Varthur Road,900.0,2,27.0,2,218
1848,Electronic City Phase II,1031.0,2,56.35,2,75
1849,Hennur,1259.0,2,57.0,2,95
1850,Raja Rajeshwari Nagar,1570.0,3,88.0,3,184
1851,Whitefield,1216.0,2,79.0,2,224
1852,Sarjapur  Road,1428.0,2,66.0,3,194
1853,Begur Road,1160.0,2,40.59,2,39
1854,others,1475.0,3,70.0,3,230
1855,Harlur,1754.0,3,135.0,3,91
